experiment_id,bank_condition,query_id,query_version,retrieval_method,rank,memory_id,semantic_similarity,state_alignment,context_alignment,experience_alignment,final_ranking_score,readmitted
RQ1_20260914T175757Z,normal,Q001,base,baseline,1,M035956,1.0,1.0,,,,NO
RQ1_20260914T175757Z,normal,Q001,base,baseline,2,M026240,0.9994783997535706,0.9619047619047619,,,,<30
RQ1_20260914T175757Z,normal,Q001,base,baseline,3,M035537,0.9994309544563293,0.8571428571428571,,,,NO
RQ1_20260914T175757Z,normal,Q001,base,baseline,4,M004745,0.9992327690124512,0.834013605442177,,,,>30
RQ1_20260914T175757Z,normal,Q001,base,baseline,5,M027507,0.9991887807846069,0.8571428571428571,,,,>30
RQ1_20260914T175757Z,normal,Q001,base,sacr,1,M035956,1.0,1.0,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q001,base,sacr,2,M028549,0.9981349110603333,0.7142857142857143,0.9807776193272376,1.0,0.9940752983093262,>30
RQ1_20260914T175757Z,normal,Q001,base,sacr,3,M035537,0.9994309544563293,0.8571428571428571,0.9744138495092693,1.0,0.9932620525360107,NO
RQ1_20260914T175757Z,normal,Q001,base,sacr,4,M032957,0.9983353018760681,0.8571428571428571,0.96197571512457,1.0,0.9894951581954956,NO
RQ1_20260914T175757Z,normal,Q001,base,sacr,5,M028255,0.9990233778953552,0.7142857142857143,0.9601190476190476,1.0,0.9894437789916992,NO
RQ1_20260914T175757Z,normal,Q001,shifted,baseline,1,M035956,1.0,0.9591836734693878,,,,NO
RQ1_20260914T175757Z,normal,Q001,shifted,baseline,2,M026240,0.9994783997535706,0.9210884353741496,,,,<30
RQ1_20260914T175757Z,normal,Q001,shifted,baseline,3,M035537,0.9994309544563293,0.8163265306122449,,,,NO
RQ1_20260914T175757Z,normal,Q001,shifted,baseline,4,M004745,0.9992327690124512,0.8204081632653061,,,,>30
RQ1_20260914T175757Z,normal,Q001,shifted,baseline,5,M027507,0.9991887807846069,0.8163265306122449,,,,>30
RQ1_20260914T175757Z,normal,Q001,shifted,sacr,1,M035956,1.0,0.9591836734693878,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q001,shifted,sacr,2,M035537,0.9994309544563293,0.8163265306122449,0.9744138495092693,1.0,0.9932620525360107,NO
RQ1_20260914T175757Z,normal,Q001,shifted,sacr,3,M032957,0.9983353018760681,0.8163265306122449,0.96197571512457,1.0,0.9894951581954956,NO
RQ1_20260914T175757Z,normal,Q001,shifted,sacr,4,M025421,0.9980544447898865,0.9591836734693878,0.9598901098901099,1.0,0.9888051748275757,NO
RQ1_20260914T175757Z,normal,Q001,shifted,sacr,5,M031286,0.9980711340904236,0.8163265306122449,0.9506501132455332,1.0,0.9865051507949829,NO
RQ1_20260914T175757Z,normal,Q002,base,baseline,1,M060927,1.0,1.0,,,,NO
RQ1_20260914T175757Z,normal,Q002,base,baseline,2,M085993,0.9992295503616333,0.819047619047619,,,,NO
RQ1_20260914T175757Z,normal,Q002,base,baseline,3,M053942,0.9991354942321777,0.6918367346938776,,,,>30
RQ1_20260914T175757Z,normal,Q002,base,baseline,4,M047437,0.999078631401062,0.819047619047619,,,,<30
RQ1_20260914T175757Z,normal,Q002,base,baseline,5,M050872,0.9990516901016235,0.8476190476190476,,,,>30
RQ1_20260914T175757Z,normal,Q002,base,sacr,1,M060927,1.0,1.0,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q002,base,sacr,2,M080873,0.9988524913787842,1.0,0.9883996728462376,1.0,0.9964114427566528,NO
RQ1_20260914T175757Z,normal,Q002,base,sacr,3,M069758,0.998687744140625,0.9965986394557823,0.9790757906215921,1.0,0.9939815998077393,NO
RQ1_20260914T175757Z,normal,Q002,base,sacr,4,M085993,0.9992295503616333,0.819047619047619,0.9768947655398037,1.0,0.993761420249939,NO
RQ1_20260914T175757Z,normal,Q002,base,sacr,5,M047437,0.999078631401062,0.819047619047619,0.9770992366412213,1.0,0.9937219619750977,<30
RQ1_20260914T175757Z,normal,Q002,shifted,baseline,1,M060927,1.0,0.9924812030075189,,,,NO
RQ1_20260914T175757Z,normal,Q002,shifted,baseline,2,M085993,0.9992295503616333,0.8115288220551379,,,,NO
RQ1_20260914T175757Z,normal,Q002,shifted,baseline,3,M053942,0.9991354942321777,0.6843179377013965,,,,>30
RQ1_20260914T175757Z,normal,Q002,shifted,baseline,4,M047437,0.999078631401062,0.8115288220551379,,,,<30
RQ1_20260914T175757Z,normal,Q002,shifted,baseline,5,M050872,0.9990516901016235,0.8401002506265665,,,,>30
RQ1_20260914T175757Z,normal,Q002,shifted,sacr,1,M060927,1.0,0.9924812030075189,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q002,shifted,sacr,2,M080873,0.9988524913787842,0.9924812030075189,0.9883996728462376,1.0,0.9964114427566528,NO
RQ1_20260914T175757Z,normal,Q002,shifted,sacr,3,M069758,0.998687744140625,0.9890798424633012,0.9790757906215921,1.0,0.9939815998077393,NO
RQ1_20260914T175757Z,normal,Q002,shifted,sacr,4,M085993,0.9992295503616333,0.8115288220551379,0.9768947655398037,1.0,0.993761420249939,NO
RQ1_20260914T175757Z,normal,Q002,shifted,sacr,5,M047437,0.999078631401062,0.8115288220551379,0.9770992366412213,1.0,0.9937219619750977,<30
RQ1_20260914T175757Z,normal,Q003,base,baseline,1,M079920,1.0,0.9714285714285714,,,,NO
RQ1_20260914T175757Z,normal,Q003,base,baseline,2,M020261,0.9993844032287598,0.6591836734693877,,,,NO
RQ1_20260914T175757Z,normal,Q003,base,baseline,3,M012821,0.9993844032287598,0.9734693877551022,,,,<30
RQ1_20260914T175757Z,normal,Q003,base,baseline,4,M094507,0.9993553161621094,0.7993197278911566,,,,>30
RQ1_20260914T175757Z,normal,Q003,base,baseline,5,M053193,0.9993504881858826,0.65578231292517,,,,>30
RQ1_20260914T175757Z,normal,Q003,base,sacr,1,M079920,1.0,0.9714285714285714,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q003,base,sacr,2,M012821,0.9993844032287598,0.9734693877551022,0.9938522355507089,1.0,0.9980937242507935,<30
RQ1_20260914T175757Z,normal,Q003,base,sacr,3,M072610,0.9990502595901489,0.7925170068027212,0.9859187568157034,1.0,0.9959099292755127,NO
RQ1_20260914T175757Z,normal,Q003,base,sacr,4,M090781,0.999200701713562,0.7959183673469389,0.9743184296619412,1.0,0.9931000471115112,>30
RQ1_20260914T175757Z,normal,Q003,base,sacr,5,M004476,0.998794674873352,0.8115646258503402,0.9730234460196293,1.0,0.9925327301025391,>30
RQ1_20260914T175757Z,normal,Q003,shifted,baseline,1,M079920,1.0,0.980952380952381,,,,NO
RQ1_20260914T175757Z,normal,Q003,shifted,baseline,2,M020261,0.9993844032287598,0.6877551020408162,,,,NO
RQ1_20260914T175757Z,normal,Q003,shifted,baseline,3,M012821,0.9993844032287598,0.9448979591836736,,,,<30
RQ1_20260914T175757Z,normal,Q003,shifted,baseline,4,M094507,0.9993553161621094,0.8469387755102041,,,,>30
RQ1_20260914T175757Z,normal,Q003,shifted,baseline,5,M053193,0.9993504881858826,0.6843537414965987,,,,>30
RQ1_20260914T175757Z,normal,Q003,shifted,sacr,1,M079920,1.0,0.980952380952381,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q003,shifted,sacr,2,M012821,0.9993844032287598,0.9448979591836736,0.9938522355507089,1.0,0.9980937242507935,<30
RQ1_20260914T175757Z,normal,Q003,shifted,sacr,3,M072610,0.9990502595901489,0.8401360544217688,0.9859187568157034,1.0,0.9959099292755127,NO
RQ1_20260914T175757Z,normal,Q003,shifted,sacr,4,M090781,0.999200701713562,0.8435374149659864,0.9743184296619412,1.0,0.9931000471115112,>30
RQ1_20260914T175757Z,normal,Q003,shifted,sacr,5,M004476,0.998794674873352,0.8210884353741498,0.9730234460196293,1.0,0.9925327301025391,>30
RQ1_20260914T175757Z,normal,Q004,base,baseline,1,M050078,1.0,0.8571428571428571,,,,>30
RQ1_20260914T175757Z,normal,Q004,base,baseline,2,M059745,0.9982020854949951,0.8503401360544218,,,,>30
RQ1_20260914T175757Z,normal,Q004,base,baseline,3,M059135,0.9978526830673218,0.8217687074829932,,,,NO
RQ1_20260914T175757Z,normal,Q004,base,baseline,4,M039907,0.9973300099372864,0.545578231292517,,,,>30
RQ1_20260914T175757Z,normal,Q004,base,baseline,5,M069349,0.9972748756408691,0.6884353741496599,,,,>30
RQ1_20260914T175757Z,normal,Q004,base,sacr,1,M050078,1.0,0.8571428571428571,1.0,1.0,1.0,>30
RQ1_20260914T175757Z,normal,Q004,base,sacr,2,M059745,0.9982020854949951,0.8503401360544218,0.9780219780219781,1.0,0.9934267997741699,>30
RQ1_20260914T175757Z,normal,Q004,base,sacr,3,M049322,0.9965438842773438,0.8312925170068028,0.9580089757570673,1.0,0.9874286651611328,<30
RQ1_20260914T175757Z,normal,Q004,base,sacr,4,M059135,0.9978526830673218,0.8217687074829932,0.9417215418169617,1.0,0.9841419458389282,NO
RQ1_20260914T175757Z,normal,Q004,base,sacr,5,M091738,0.9967393279075623,0.8312925170068028,0.9236400050331348,1.0,0.9789535999298096,>30
RQ1_20260914T175757Z,normal,Q004,shifted,baseline,1,M050078,1.0,0.8571428571428571,,,,>30
