n_min,beta,eligible_pool_size,n_qualifying,qualifying_rate
2,0.0,100,44,0.44
2,-0.2,100,13,0.13
2,-0.34,100,13,0.13
2,-0.5,100,13,0.13
2,-1.0,100,13,0.13
3,0.0,100,44,0.44
3,-0.2,100,13,0.13
3,-0.34,100,13,0.13
3,-0.5,100,13,0.13
3,-1.0,100,13,0.13
5,0.0,100,44,0.44
5,-0.2,100,13,0.13
5,-0.34,100,13,0.13
5,-0.5,100,13,0.13
5,-1.0,100,13,0.13
8,0.0,100,44,0.44
8,-0.2,100,13,0.13
8,-0.34,100,13,0.13
8,-0.5,100,13,0.13
8,-1.0,100,13,0.13
10,0.0,100,44,0.44
10,-0.2,100,13,0.13
10,-0.34,100,13,0.13
10,-0.5,100,13,0.13
10,-1.0,100,13,0.13
