condition,round,memory_id,action,retrieval_count,average_utility,negative_feedback_count,quality_score,reason
history_deletion,42,M047437,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,43,M012821,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,44,M049322,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,45,M044080,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,47,M003265,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,49,M059479,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,50,M020473,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,51,M042153,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,54,M035347,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,55,M101026,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,59,M046472,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,59,M026024,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,59,M043388,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,102,M045979,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,110,M088598,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,119,M044045,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
history_deletion,162,M058605,deleted,3,-1.0,3,,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,22,M047437,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,23,M012821,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,24,M049322,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,25,M044080,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,27,M003265,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,29,M059479,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,30,M020473,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,31,M042153,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,34,M035347,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,35,M101026,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,39,M046472,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,39,M026024,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,39,M043388,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,42,M047437,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,43,M012821,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,44,M049322,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,45,M044080,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,47,M003265,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,49,M059479,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,50,M020473,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
