condition,round,archetype,rank,memory_id,feedback,semantic_similarity,state_alignment,context_alignment,final_ranking_score,retrieval_count_after,average_utility_after
static,1,Q001,1,M035956,1.0,1.0,1.0,1.0,1.0,1,1.0
static,1,Q001,2,M028549,0.0,0.9981349110603333,0.7142857142857143,0.9807776193272376,0.9940752983093262,1,0.0
static,1,Q001,3,M035537,1.0,0.9994309544563293,0.8571428571428571,0.9744138495092693,0.9932620525360107,1,1.0
static,1,Q001,4,M032957,1.0,0.9983353018760681,0.8571428571428571,0.96197571512457,0.9894951581954956,1,1.0
static,1,Q001,5,M028255,1.0,0.9990233778953552,0.7142857142857143,0.9601190476190476,0.9894437789916992,1,1.0
static,2,Q002,1,M060927,1.0,1.0,1.0,1.0,1.0,1,1.0
static,2,Q002,2,M080873,1.0,0.9988524913787842,1.0,0.9883996728462376,0.9964114427566528,1,1.0
static,2,Q002,3,M069758,1.0,0.998687744140625,0.9965986394557823,0.9790757906215921,0.9939815998077393,1,1.0
static,2,Q002,4,M085993,1.0,0.9992295503616333,0.819047619047619,0.9768947655398037,0.993761420249939,1,1.0
static,2,Q002,5,M047437,-1.0,0.999078631401062,0.819047619047619,0.9770992366412213,0.9937219619750977,1,-1.0
static,3,Q003,1,M079920,1.0,1.0,0.9714285714285714,1.0,1.0,1,1.0
static,3,Q003,2,M012821,-1.0,0.9993844032287598,0.9734693877551022,0.9938522355507089,0.9980937242507935,1,-1.0
static,3,Q003,3,M072610,1.0,0.9990502595901489,0.7925170068027212,0.9859187568157034,0.9959099292755127,1,1.0
static,3,Q003,4,M090781,0.0,0.999200701713562,0.7959183673469389,0.9743184296619412,0.9931000471115112,1,0.0
static,3,Q003,5,M004476,0.0,0.998794674873352,0.8115646258503402,0.9730234460196293,0.9925327301025391,1,0.0
static,4,Q004,1,M050078,0.0,1.0,0.8571428571428571,1.0,1.0,1,0.0
static,4,Q004,2,M059745,0.0,0.9982020854949951,0.8503401360544218,0.9780219780219781,0.9934267997741699,1,0.0
static,4,Q004,3,M049322,-1.0,0.9965438842773438,0.8312925170068028,0.9580089757570673,0.9874286651611328,1,-1.0
static,4,Q004,4,M059135,1.0,0.9978526830673218,0.8217687074829932,0.9417215418169617,0.9841419458389282,1,1.0
static,4,Q004,5,M091738,0.0,0.9967393279075623,0.8312925170068028,0.9236400050331348,0.9789535999298096,1,0.0
static,5,Q005,1,M044080,-1.0,1.0,0.9931972789115646,1.0,1.0,1,-1.0
static,5,Q005,2,M084721,1.0,0.9992156624794006,0.834013605442177,0.9945474372955289,0.9981663227081299,1,1.0
