condition,true_label,predicted_label,count
baseline,NO,NO,101
baseline,NO,>30,45
baseline,NO,<30,13
baseline,>30,NO,56
baseline,>30,>30,38
baseline,>30,<30,4
baseline,<30,NO,24
baseline,<30,>30,14
baseline,<30,<30,5
sacr,NO,NO,79
sacr,NO,>30,57
sacr,NO,<30,18
sacr,>30,NO,49
sacr,>30,>30,36
sacr,>30,<30,10
sacr,<30,NO,21
sacr,<30,>30,17
sacr,<30,<30,3
sg_qms,NO,NO,79
sg_qms,NO,>30,57
sg_qms,NO,<30,18
sg_qms,>30,NO,49
sg_qms,>30,>30,36
sg_qms,>30,<30,10
sg_qms,<30,NO,21
sg_qms,<30,>30,17
sg_qms,<30,<30,3
