memory_id,retrieval_count,positive_feedback_count,neutral_feedback_count,negative_feedback_count,average_utility,quality_score,quarantined,quarantine_reason,downgraded
M095842,1,1,0,0,1.0,0.6,False,,False
M000555,1,1,0,0,1.0,0.6,False,,False
M000677,1,1,0,0,1.0,0.6,False,,False
M021498,1,1,0,0,1.0,0.6,False,,False
M008091,1,0,1,0,0.0,0.5,False,,False
M026222,1,0,0,1,-1.0,0.4,False,,False
M038592,2,0,2,0,0.0,0.5,False,,False
M036644,1,0,1,0,0.0,0.5,False,,False
M066443,1,1,0,0,1.0,0.6,False,,False
M019941,1,0,1,0,0.0,0.5,False,,False
M037916,1,0,1,0,0.0,0.5,False,,False
M010324,1,0,1,0,0.0,0.5,False,,False
M002813,1,1,0,0,1.0,0.6,False,,False
M043187,1,1,0,0,1.0,0.6,False,,False
M000391,1,0,1,0,0.0,0.5,False,,False
M000646,1,0,1,0,0.0,0.5,False,,False
M001996,2,2,0,0,1.0,0.7,False,,False
M049495,1,0,1,0,0.0,0.5,False,,False
M002005,1,1,0,0,1.0,0.6,False,,False
M072905,1,1,0,0,1.0,0.6,False,,False
M097095,1,1,0,0,1.0,0.6,False,,False
M086764,1,0,0,1,-1.0,0.4,False,,False
M075425,1,1,0,0,1.0,0.6,False,,False
M080593,1,0,1,0,0.0,0.5,False,,False
M077978,1,1,0,0,1.0,0.6,False,,False
M031401,1,1,0,0,1.0,0.6,False,,False
M040000,1,1,0,0,1.0,0.6,False,,False
M078934,1,0,0,1,-1.0,0.4,False,,False
M002991,1,0,1,0,0.0,0.5,False,,False
M060207,2,2,0,0,1.0,0.7,False,,False
M015911,1,0,1,0,0.0,0.5,False,,False
M055351,1,0,0,1,-1.0,0.4,False,,False
M016172,1,1,0,0,1.0,0.6,False,,False
M068012,1,0,1,0,0.0,0.5,False,,False
M030176,1,1,0,0,1.0,0.6,False,,False
M029005,1,1,0,0,1.0,0.6,False,,False
M020312,1,1,0,0,1.0,0.6,False,,False
M012442,1,1,0,0,1.0,0.6,False,,False
M030057,1,1,0,0,1.0,0.6,False,,False
M028050,1,0,1,0,0.0,0.5,False,,False
M013908,1,1,0,0,1.0,0.6,False,,False
M003655,1,0,1,0,0.0,0.5,False,,False
M015709,1,0,1,0,0.0,0.5,False,,False
M004450,1,1,0,0,1.0,0.6,False,,False
M001408,1,1,0,0,1.0,0.6,False,,False
M005225,1,0,1,0,0.0,0.5,False,,False
M004837,1,0,0,1,-1.0,0.4,False,,False
M018085,1,0,1,0,0.0,0.5,False,,False
M049042,1,0,1,0,0.0,0.5,False,,False
M055272,1,0,0,1,-1.0,0.4,False,,False
M029129,1,1,0,0,1.0,0.6,False,,False
M022939,1,1,0,0,1.0,0.6,False,,False
M091636,1,1,0,0,1.0,0.6,False,,False
