condition,true_label,predicted_label,count
baseline,NO,NO,972
baseline,NO,>30,512
baseline,NO,<30,132
baseline,>30,NO,534
baseline,>30,>30,416
baseline,>30,<30,116
baseline,<30,NO,174
baseline,<30,>30,125
baseline,<30,<30,19
sacr,NO,NO,967
sacr,NO,>30,483
sacr,NO,<30,111
sacr,>30,NO,534
sacr,>30,>30,411
sacr,>30,<30,97
sacr,<30,NO,178
sacr,<30,>30,105
sacr,<30,<30,24
sg_qms,NO,NO,967
sg_qms,NO,>30,483
sg_qms,NO,<30,111
sg_qms,>30,NO,534
sg_qms,>30,>30,411
sg_qms,>30,<30,97
sg_qms,<30,NO,178
sg_qms,<30,>30,105
sg_qms,<30,<30,24
