memory_id,retrieval_count,positive_feedback_count,neutral_feedback_count,negative_feedback_count,average_utility,quality_score,quarantined,quarantine_reason,downgraded
M096716,1,0,1,0,0.0,0.5,False,,False
M074810,1,0,1,0,0.0,0.5,False,,False
M046527,1,0,1,0,0.0,0.5,False,,False
M091704,1,0,0,1,-1.0,0.4,False,,False
M097894,1,0,0,1,-1.0,0.4,False,,False
M059928,1,1,0,0,1.0,0.6,False,,False
M014054,1,0,1,0,0.0,0.5,False,,False
M004699,1,1,0,0,1.0,0.6,False,,False
M021029,1,1,0,0,1.0,0.6,False,,False
M074720,1,0,1,0,0.0,0.5,False,,False
M081470,1,0,1,0,0.0,0.5,False,,False
M089987,1,1,0,0,1.0,0.6,False,,False
M076341,1,0,1,0,0.0,0.5,False,,False
M039466,1,0,1,0,0.0,0.5,False,,False
M078250,1,0,1,0,0.0,0.5,False,,False
M019590,1,1,0,0,1.0,0.6,False,,False
M012656,1,0,1,0,0.0,0.5,False,,False
M096948,2,2,0,0,1.0,0.7,False,,False
M101377,2,0,0,2,-1.0,0.30000000000000004,False,,True
M066238,1,1,0,0,1.0,0.6,False,,False
M065421,1,0,1,0,0.0,0.5,False,,False
M073699,1,1,0,0,1.0,0.6,False,,False
M079651,1,0,1,0,0.0,0.5,False,,False
M023870,2,2,0,0,1.0,0.7,False,,False
M081379,2,2,0,0,1.0,0.7,False,,False
M060707,1,0,1,0,0.0,0.5,False,,False
M085556,1,1,0,0,1.0,0.6,False,,False
M085098,1,1,0,0,1.0,0.6,False,,False
M002623,1,1,0,0,1.0,0.6,False,,False
M054899,1,0,1,0,0.0,0.5,False,,False
M005093,1,1,0,0,1.0,0.6,False,,False
M011337,1,1,0,0,1.0,0.6,False,,False
M014126,1,1,0,0,1.0,0.6,False,,False
M008767,2,2,0,0,1.0,0.7,False,,False
M066676,1,0,0,1,-1.0,0.4,False,,False
M087131,1,0,1,0,0.0,0.5,False,,False
M063515,1,0,1,0,0.0,0.5,False,,False
M062090,1,0,1,0,0.0,0.5,False,,False
M066360,1,0,1,0,0.0,0.5,False,,False
M034312,2,2,0,0,1.0,0.7,False,,False
M032439,1,1,0,0,1.0,0.6,False,,False
M045296,1,1,0,0,1.0,0.6,False,,False
M035634,2,2,0,0,1.0,0.7,False,,False
M019962,1,0,1,0,0.0,0.5,False,,False
M049140,1,1,0,0,1.0,0.6,False,,False
M017365,1,1,0,0,1.0,0.6,False,,False
M020285,1,1,0,0,1.0,0.6,False,,False
M061181,1,1,0,0,1.0,0.6,False,,False
M024699,1,0,0,1,-1.0,0.4,False,,False
M012057,1,1,0,0,1.0,0.6,False,,False
M096093,1,1,0,0,1.0,0.6,False,,False
M072663,1,1,0,0,1.0,0.6,False,,False
M001175,1,0,1,0,0.0,0.5,False,,False
M057255,1,1,0,0,1.0,0.6,False,,False
M036373,1,1,0,0,1.0,0.6,False,,False
M035557,1,1,0,0,1.0,0.6,False,,False
M027211,1,1,0,0,1.0,0.6,False,,False
M030673,1,1,0,0,1.0,0.6,False,,False
M036529,1,1,0,0,1.0,0.6,False,,False
M050610,1,1,0,0,1.0,0.6,False,,False
M006985,1,0,0,1,-1.0,0.4,False,,False
M004720,1,0,1,0,0.0,0.5,False,,False
M014636,1,1,0,0,1.0,0.6,False,,False
M075601,1,1,0,0,1.0,0.6,False,,False
M066521,1,0,1,0,0.0,0.5,False,,False
M098720,1,1,0,0,1.0,0.6,False,,False
M057017,1,0,1,0,0.0,0.5,False,,False
M054910,1,0,1,0,0.0,0.5,False,,False
M071700,1,1,0,0,1.0,0.6,False,,False
M002218,1,1,0,0,1.0,0.6,False,,False
M010262,1,0,0,1,-1.0,0.4,False,,False
M015357,2,0,2,0,0.0,0.5,False,,False
M074733,1,1,0,0,1.0,0.6,False,,False
M019221,1,0,1,0,0.0,0.5,False,,False
