memory_id,retrieval_count
M074606,10
M034828,10
M045990,10
M055079,10
M086557,10
M007134,9
M013183,9
M070162,9
M097284,9
M093008,9
M050997,9
M071371,9
M076957,9
M082812,8
M087203,8
M019941,8
M062665,8
M049095,8
M031954,8
M063458,8
M055775,8
M054670,8
M072163,8
M049590,8
M074411,8
M098862,8
M064061,8
M009921,8
M051811,8
M041354,8
M092217,8
M039696,8
M048093,8
M028558,8
M029773,8
M011549,8
M085762,8
M058027,8
M037273,8
M045851,8
M044427,8
M046416,8
M086085,8
M054846,8
M068704,8
M067654,8
M101255,8
M045492,8
M051543,8
M070635,8
M093516,8
M042590,8
M074673,8
M066963,8
M024968,8
M075144,8
M068646,7
M001561,7
M047592,7
M036002,7
M093138,7
M061987,7
M078759,7
M011354,7
M007013,7
M022050,7
M031131,7
M010865,7
M029648,7
M029524,7
M015049,7
M006679,7
M012286,7
M022568,7
M100069,7
M099713,7
M089134,7
M035710,7
M023794,7
M050602,7
M039000,7
M033333,7
M068399,7
M088601,7
M056518,7
M074028,7
M095743,7
M044386,7
M038397,7
M072232,7
M010515,7
M091578,7
M061714,7
M035623,7
M009475,7
M065314,7
M084769,7
M010554,7
M089434,7
M012897,7
M085918,7
M021068,7
M046649,7
M022404,7
M016013,7
M073403,7
M030345,7
M075083,7
M058423,7
M071854,7
M085706,7
M036660,7
M097348,7
M040753,7
M055080,7
M053989,7
M072325,7
M035452,7
M044949,7
M060633,7
M042209,7
M031065,7
M028512,7
M074340,7
M072835,7
M011657,7
M060687,7
M093802,7
M080649,7
M086276,7
M031737,7
M005620,7
M062276,7
M064550,7
M003622,7
M066429,7
M091581,7
M097117,7
M081641,7
M037888,7
M061255,7
M062120,7
M071322,7
M046912,7
M066631,7
M055706,7
M096861,7
M060805,7
M062413,7
M068443,7
M100549,7
M070917,7
M063505,7
M076812,7
M076230,7
M069077,7
M096604,7
M061878,7
M059287,7
M087743,7
M073173,7
M082576,7
M092517,7
M024729,7
M094258,7
M024300,6
M091998,6
M059763,6
M039513,6
M089195,6
M089203,6
M082724,6
M094268,6
M092601,6
M001067,6
M004716,6
M019414,6
M023911,6
M021886,6
M003902,6
M099999,6
M044259,6
M076762,6
M013634,6
M084259,6
M035760,6
M011351,6
M003667,6
M035091,6
M012296,6
M005881,6
M093189,6
M022378,6
M054245,6
M063418,6
M061143,6
M053348,6
M047421,6
M031401,6
M003904,6
M046909,6
M040990,6
M075690,6
M024178,6
M003852,6
M033871,6
M004589,6
M028864,6
M052884,6
M017574,6
M039655,6
M009822,6
M002552,6
M015755,6
M067221,6
M092918,6
M025097,6
M045109,6
M035729,6
M020719,6
M015188,6
M032408,6
M077999,6
M097670,6
M008812,6
M009000,6
M035535,6
M070176,6
M004488,6
M008737,6
M042021,6
M009234,6
M050970,6
M077074,6
M100401,6
M035223,6
M026861,6
M014257,6
M043230,6
M014383,6
M052001,6
M060874,6
M058278,6
M096946,6
M010674,6
M063700,6
M036881,6
M015780,6
M058780,6
M062101,6
M086525,6
M023144,6
M018089,6
M066935,6
M013693,6
M010689,6
M020887,6
M100152,6
M031501,6
M058053,6
M017879,6
M028247,6
M065117,6
M073258,6
M014690,6
M054483,6
M048003,6
M007182,6
M040395,6
M001329,6
M085070,6
M052964,6
M074547,6
M014227,6
M060206,6
M063757,6
M002766,6
M001195,6
M038635,6
M077653,6
M065293,6
M089682,6
M029849,6
M018436,6
M030177,6
M048673,6
M030230,6
M076654,6
M029409,6
M094535,6
M013207,6
M004438,6
M078071,6
M076672,6
M028754,6
M004442,6
M011712,6
M056913,6
M042062,6
M082547,6
M020244,6
M045149,6
M052878,6
M065923,6
M004428,6
M002907,6
M025948,6
M023152,6
M077549,6
M037755,6
M025990,6
M020540,6
M003674,6
M005248,6
M016986,6
M033385,6
M003419,6
M027558,6
M086257,6
M053937,6
M006013,6
M092664,6
M052695,6
M015871,6
M059748,6
M010944,6
M023891,6
M062192,6
M009715,6
M086808,6
M050995,6
M076689,6
M046569,6
M049747,6
M055635,6
M011019,6
M026923,6
M038203,6
M027038,6
M096314,6
M054774,6
M035674,6
M091352,6
M052882,6
M023422,6
M080030,6
M088245,6
M013993,6
M078451,6
M101349,6
M070524,6
M006858,6
M059126,6
M032481,6
M042618,6
M097648,6
M043155,6
M078856,6
M022300,6
M042855,6
M030173,6
M031408,6
M054032,6
M027302,6
M064913,6
M006323,6
M010290,6
M080833,6
M084024,6
M018275,6
M004346,6
M023012,6
M025994,6
M090926,6
M054594,6
M019020,6
M071926,6
M030824,6
M065094,6
M065000,6
M071339,6
M090310,6
M055495,6
M080302,6
M037928,6
M053364,6
M048766,6
M071447,6
M033459,6
M020357,6
M019388,6
M013898,6
M098012,6
M045228,6
M018697,6
M000970,6
M006985,6
M036787,6
M076315,6
M012221,6
M077094,6
M085765,6
M082897,6
M019679,6
M033674,6
M027726,6
M017697,6
M034285,6
M033144,6
M031821,6
M055605,6
M075160,6
M067909,6
M068277,6
M062352,6
M018795,6
M027136,6
M086364,6
M025346,6
M036153,6
M031021,6
M034548,6
M001370,6
M067023,6
M032105,6
M088768,6
M022294,6
M069013,6
M065906,6
M062723,6
M029326,6
M069989,6
M055856,6
M045293,6
M076270,6
M059018,6
M033627,6
M053158,6
M056851,6
M077752,6
M050406,6
M049991,6
M065752,6
M088548,6
M057257,6
M043774,6
M065126,6
M079368,6
M096846,6
M087174,6
M100327,6
M079584,6
M078084,6
M046217,6
M050827,6
M072112,6
M087736,6
M051849,6
M070323,6
M056989,6
M025326,6
M053024,6
M043029,6
M089227,6
M051750,6
M025095,6
M082360,6
M067384,6
M071631,6
M068107,6
M069388,6
M091822,6
M083620,6
M060462,6
M052546,6
M063682,6
M041035,6
M055071,6
M067408,6
M063241,6
M078626,6
M073924,6
M046547,6
M049261,6
M060923,6
M080822,6
M048226,6
M004351,6
M023625,6
M024040,6
M089865,6
M062144,6
M068718,6
M066695,6
M051058,6
M044126,6
M066046,6
M091329,6
M096539,6
M071039,6
M049621,6
M082526,6
M066717,6
M050484,6
M016946,6
M017796,6
M066975,6
M056282,6
M067986,6
M067722,6
M075088,6
M068102,6
M087802,6
M090105,6
M050508,6
M090864,6
M075299,6
M058336,6
M093746,6
M082660,6
M087650,6
M093382,6
M070265,6
M083181,6
M047891,6
M049112,6
M069811,6
M081644,6
M067008,6
M019784,6
M076456,6
M069132,6
M044184,6
M090000,6
M087505,6
M059737,6
M054019,6
M080485,6
M021850,6
M078937,6
M085014,6
M099123,6
M080444,6
M023858,6
M063092,6
M086444,6
M062567,6
M045071,6
M087377,6
M002294,6
M040660,6
M071236,6
M073652,6
M078651,6
M084009,6
M082710,6
M073205,6
M070651,6
M076107,6
M092566,6
M069357,6
M012779,6
M100634,6
M083340,6
M002187,5
M041069,5
M003886,5
M031931,5
M000145,5
M080750,5
M010516,5
M084763,5
M043201,5
M073861,5
M024944,5
M038664,5
M013663,5
M012125,5
M006462,5
M004191,5
M038647,5
M041788,5
M057293,5
M007024,5
M011473,5
M016078,5
M064751,5
M041079,5
M021165,5
M020255,5
M024936,5
M002338,5
M016039,5
M002077,5
M042883,5
M037920,5
M033064,5
M078858,5
M028848,5
M049187,5
M049140,5
M021383,5
M001908,5
M042162,5
M023131,5
M008857,5
M011262,5
M034044,5
M091087,5
M016045,5
M096498,5
M047711,5
M092962,5
M047890,5
M063977,5
M003510,5
M008406,5
M022327,5
M027934,5
M002386,5
M049495,5
M083094,5
M037068,5
M001100,5
M043448,5
M002052,5
M059758,5
M042057,5
M011200,5
M004657,5
M006884,5
M009954,5
M027489,5
M038840,5
M016151,5
M090740,5
M063784,5
M061414,5
M021088,5
M064825,5
M003355,5
M010803,5
M024943,5
M000481,5
M080593,5
M041260,5
M032222,5
M039766,5
M024907,5
M065361,5
M075327,5
M002644,5
M037262,5
M066313,5
M007916,5
M025253,5
M002995,5
M038320,5
M024477,5
M043423,5
M062280,5
M057089,5
M034030,5
M057824,5
M034812,5
M006092,5
M026514,5
M017989,5
M024392,5
M008199,5
M035666,5
M010863,5
M033194,5
M057476,5
M072574,5
M001436,5
M020225,5
M077817,5
M087158,5
M019556,5
M030140,5
M015105,5
M019027,5
M026975,5
M018619,5
M033672,5
M006801,5
M013817,5
M010003,5
M101315,5
M100603,5
M017529,5
M056668,5
M068266,5
M048642,5
M056602,5
M016668,5
M001829,5
M004651,5
M027933,5
M011841,5
M020456,5
M088796,5
M011323,5
M019204,5
M043291,5
M002712,5
M019876,5
M017546,5
M006027,5
M074690,5
M004473,5
M020973,5
M057208,5
M018876,5
M042449,5
M020999,5
M032350,5
M007812,5
M024345,5
M082624,5
M016366,5
M047747,5
M003999,5
M027115,5
M027210,5
M030034,5
M014732,5
M019190,5
M022433,5
M065301,5
M092131,5
M033198,5
M022291,5
M005396,5
M021787,5
M005467,5
M015384,5
M046334,5
M021064,5
M035634,5
M008078,5
M084638,5
M048012,5
M080341,5
M073016,5
M090661,5
M096336,5
M010315,5
M013002,5
M082163,5
M029320,5
M010953,5
M024126,5
M015857,5
M022745,5
M074219,5
M080607,5
M022333,5
M086497,5
M020706,5
M042307,5
M071477,5
M036747,5
M028310,5
M043492,5
M021602,5
M039595,5
M089067,5
M076711,5
M046328,5
M023666,5
M021584,5
M085552,5
M049486,5
M002651,5
M068159,5
M042580,5
M004073,5
M088800,5
M048870,5
M018301,5
M074171,5
M022502,5
M037993,5
M068752,5
M076359,5
M029508,5
M000296,5
M012227,5
M062259,5
M040166,5
M080631,5
M008286,5
M019710,5
M026227,5
M003154,5
M041476,5
M051384,5
M042601,5
M037843,5
M096661,5
M067810,5
M023791,5
M024773,5
M006443,5
M064244,5
M086362,5
M015046,5
M009101,5
M034713,5
M085826,5
M057764,5
M015860,5
M007901,5
M076651,5
M029170,5
M042122,5
M065568,5
M010929,5
M079284,5
M057288,5
M027223,5
M008051,5
M095350,5
M024493,5
M031031,5
M096293,5
M055449,5
M016076,5
M072527,5
M070919,5
M072326,5
M063143,5
M022547,5
M073827,5
M100187,5
M093699,5
M000852,5
M038386,5
M035732,5
M036011,5
M026642,5
M054326,5
M013838,5
M013967,5
M068377,5
M024625,5
M072540,5
M005027,5
M014636,5
M003461,5
M004990,5
M058061,5
M008642,5
M064690,5
M034900,5
M058424,5
M043073,5
M023661,5
M066379,5
M094496,5
M064767,5
M036066,5
M014532,5
M091784,5
M090463,5
M007804,5
M063146,5
M100733,5
M007088,5
M033008,5
M048578,5
M053617,5
M013226,5
M036355,5
M004347,5
M101528,5
M060229,5
M073736,5
M095442,5
M091695,5
M097985,5
M031672,5
M021744,5
M016685,5
M075469,5
M092720,5
M049466,5
M076082,5
M016416,5
M024191,5
M002366,5
M018908,5
M022344,5
M018439,5
M032022,5
M063630,5
M101098,5
M069740,5
M076334,5
M016924,5
M036271,5
M023780,5
M041478,5
M023070,5
M040028,5
M012346,5
M043936,5
M052978,5
M025664,5
M015908,5
M056092,5
M066330,5
M029632,5
M091391,5
M076932,5
M009155,5
M097611,5
M048184,5
M003514,5
M024318,5
M019889,5
M028477,5
M040965,5
M075256,5
M072483,5
M004421,5
M050550,5
M036106,5
M050785,5
M062425,5
M018810,5
M010967,5
M021674,5
M101591,5
M040960,5
M002434,5
M038867,5
M026028,5
M062596,5
M033694,5
M079230,5
M008576,5
M080702,5
M019154,5
M030308,5
M024631,5
M089940,5
M019532,5
M096424,5
M021448,5
M030014,5
M008624,5
M054309,5
M022408,5
M014778,5
M015826,5
M045100,5
M007267,5
M007741,5
M022822,5
M032318,5
M081508,5
M034777,5
M027990,5
M080130,5
M083348,5
M046765,5
M090789,5
M002480,5
M090429,5
M013324,5
M025677,5
M049576,5
M098620,5
M016693,5
M067642,5
M044029,5
M088167,5
M058946,5
M017544,5
M060725,5
M043241,5
M021657,5
M041054,5
M080278,5
M075692,5
M076106,5
M031641,5
M046997,5
M093963,5
M071156,5
M013062,5
M022023,5
M080486,5
M075012,5
M045981,5
M083884,5
M075997,5
M091886,5
M100101,5
M100822,5
M025891,5
M034827,5
M027248,5
M018135,5
M062506,5
M023004,5
M074956,5
M068847,5
M037073,5
M028243,5
M007699,5
M044498,5
M025801,5
M049876,5
M009620,5
M036811,5
M074900,5
M074541,5
M006743,5
M028210,5
M020692,5
M062386,5
M089553,5
M099331,5
M015831,5
M010777,5
M018032,5
M008864,5
M037477,5
M032455,5
M005023,5
M101155,5
M079075,5
M026597,5
M046167,5
M035869,5
M006469,5
M004846,5
M042749,5
M081415,5
M057664,5
M063498,5
M093644,5
M016086,5
M077248,5
M051740,5
M007944,5
M095817,5
M066780,5
M053411,5
M095120,5
M016570,5
M072016,5
M095999,5
M055435,5
M083509,5
M101283,5
M078002,5
M053819,5
M038667,5
M014237,5
M099278,5
M078678,5
M085089,5
M017334,5
M027599,5
M040111,5
M006263,5
M028161,5
M025234,5
M036606,5
M024200,5
M060058,5
M083298,5
M046117,5
M021022,5
M063010,5
M048917,5
M047150,5
M030879,5
M029886,5
M017994,5
M099724,5
M078387,5
M022631,5
M075965,5
M015907,5
M063954,5
M020036,5
M067319,5
M027418,5
M048193,5
M093850,5
M072173,5
M072451,5
M096268,5
M092332,5
M001261,5
M015773,5
M025474,5
M039113,5
M023206,5
M037002,5
M088011,5
M094514,5
M085163,5
M100502,5
M089096,5
M031114,5
M084172,5
M017651,5
M042581,5
M097091,5
M084686,5
M028698,5
M007446,5
M089518,5
M080644,5
M056098,5
M079109,5
M028824,5
M042073,5
M024157,5
M085758,5
M059962,5
M063808,5
M063974,5
M069417,5
M014759,5
M037335,5
M085818,5
M077119,5
M050503,5
M051021,5
M001651,5
M055789,5
M089046,5
M041331,5
M096948,5
M002451,5
M052565,5
M085507,5
