condition,N,total_retrieval_events,distinct_memories_retrieved,retrieved_exactly_once,retrieved_ge_2,retrieved_ge_3,retrieved_ge_5,retrieved_ge_10,max_retrieval_count,mean_retrieval_count,median_retrieval_count,n_min_eligible_count,fraction_ge_n_min
baseline,300,1500,1482,1464,18,0,0,0,2,1.0121457489878543,1.0,0,0.0
baseline,1000,5000,4826,4661,165,8,0,0,4,1.0360547036883547,1.0,8,0.0016576875259013675
baseline,3000,15000,13303,11764,1539,146,1,0,5,1.1275652108546945,1.0,146,0.010974968052319026
baseline,5000,25000,20665,16978,3687,571,8,0,6,1.2097749818533752,1.0,571,0.02763126058553109
baseline,10000,50000,35094,24014,11080,2955,147,0,7,1.4247449706502535,1.0,2955,0.08420242776543
baseline,20372,101860,53081,25242,27839,12649,1994,15,11,1.9189540513554757,2.0,12649,0.23829618884346565
sacr,300,1384,1373,1362,11,0,0,0,2,1.0080116533139112,1.0,0,0.0
sacr,1000,4608,4450,4299,151,7,0,0,3,1.0355056179775282,1.0,7,0.0015730337078651685
sacr,3000,13805,12379,11091,1288,127,0,0,4,1.1151950884562565,1.0,127,0.010259310121980773
sacr,5000,22999,19262,16036,3226,450,7,0,5,1.1940089294984944,1.0,450,0.023362060014536393
sacr,10000,45774,32800,22981,9819,2487,115,0,7,1.3955487804878048,1.0,2487,0.07582317073170732
sacr,20372,93067,50191,25058,25133,11007,1603,5,10,1.8542567392560418,2.0,11007,0.21930226534637684
sg_qms,300,1384,1373,1362,11,0,0,0,2,1.0080116533139112,1.0,0,0.0
sg_qms,1000,4608,4450,4299,151,7,0,0,3,1.0355056179775282,1.0,7,0.0015730337078651685
sg_qms,3000,13805,12379,11089,1290,127,0,0,4,1.1151950884562565,1.0,127,0.010259310121980773
sg_qms,5000,22999,19262,16034,3228,451,7,0,5,1.1940089294984944,1.0,451,0.023413975703457584
sg_qms,10000,45772,32823,22972,9851,2504,101,0,7,1.3945099472930567,1.0,2504,0.0762879688023642
sg_qms,20372,93031,50315,24983,25332,11194,1472,5,10,1.8489714796780283,2.0,11194,0.22247838616714696
