condition,N,total_queries,covered_queries,coverage,accuracy_covered,accuracy_all_uncovered_as_incorrect,macro_f1,negative_exposure,negative_query_rate,total_retrieval_events,distinct_memories_retrieved,retrieved_exactly_once,retrieved_ge_2,retrieved_ge_3,retrieved_ge_5,max_retrieval_count,mean_state_alignment,mean_context_alignment,state_violations,context_violations,joint_violations,number_quarantined,number_downgraded,number_governance_exclusions,memory_retention_rate,distinct_memories_touched,number_reaching_n_min,number_receiving_governance_updates,oracle_eligible_count,quarantine_effectiveness,false_quarantine_rate
baseline,300,300,300,1.0,0.51,0.51,0.4006194386406825,0.12066666666666667,0.45666666666666667,1500,1482,1464,18,0,0,2,,,,,,,,,,,,,,,
baseline,1000,1000,1000,1.0,0.467,0.467,0.3460651488031785,0.119,0.453,5000,4826,4661,165,8,0,4,,,,,,,,,,,,,,,
baseline,3000,3000,3000,1.0,0.469,0.469,0.34913370900326646,0.11793333333333333,0.4533333333333333,15000,13303,11764,1539,146,1,5,,,,,,,,,,,,,,,
baseline,5000,5000,5000,1.0,0.471,0.471,0.35531207585659347,0.11676,0.451,25000,20665,16978,3687,571,8,6,,,,,,,,,,,,,,,
baseline,10000,10000,10000,1.0,0.4715,0.4715,0.36053362433308117,0.11476,0.4453,50000,35094,24014,11080,2955,147,7,,,,,,,,,,,,,,,
baseline,20372,20372,20372,1.0,0.468535244453171,0.468535244453171,0.3575422375849073,0.11299823286864323,0.44330453563714906,101860,53081,25242,27839,12649,1994,11,,,,,,,,,,,,,,,
sacr,300,300,292,0.9733333333333334,0.4691780821917808,0.45666666666666667,0.33120969010539564,0.10043352601156069,0.3767123287671233,1384,1373,1362,11,0,0,2,0.8133926631194005,0.9747447639295724,0.0,0.0,0.0,,,,,,,,,,
sacr,1000,1000,977,0.977,0.4779938587512794,0.467,0.3441356226576355,0.10655381944444445,0.406345957011259,4608,4450,4299,151,7,0,3,0.8113887148426622,0.974506873059175,0.0,0.0,0.0,,,,,,,,,,
sacr,3000,3000,2910,0.97,0.481786941580756,0.4673333333333333,0.3629037122162185,0.10691778341180731,0.40446735395189004,13805,12379,11091,1288,127,0,4,0.8138484683795171,0.9743586734980701,0.0,0.0,0.0,,,,,,,,,,
sacr,5000,5000,4846,0.9692,0.481634337598019,0.4668,0.3698906309617034,0.10996130266533327,0.41209244737928186,22999,19262,16036,3226,450,7,5,0.8137710551620834,0.9740076397548602,0.0,0.0,0.0,,,,,,,,,,
sacr,10000,10000,9656,0.9656,0.4772162386081193,0.4608,0.3666011638432891,0.10999694149517193,0.411039768019884,45774,32800,22981,9819,2487,115,7,0.8144208197590769,0.9739541225570828,0.0,0.0,0.0,,,,,,,,,,
sacr,20372,20372,19663,0.965197329668172,0.4710878299343946,0.4546927154918516,0.3594949378149566,0.1093835623797909,0.4110766414077201,93067,50191,25058,25133,11007,1603,10,0.8142041277055093,0.973943085545378,0.0,0.0,0.0,,,,,,,,,,
sg_qms,300,300,292,0.9733333333333334,0.4691780821917808,0.45666666666666667,0.33120969010539564,0.10043352601156069,0.3767123287671233,1384,1373,1362,11,0,0,2,0.8133926631194005,0.9747447639295724,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1373.0,0.0,1373.0,0.0,,
sg_qms,1000,1000,977,0.977,0.4779938587512794,0.467,0.3441356226576355,0.10655381944444445,0.406345957011259,4608,4450,4299,151,7,0,3,0.8113887148426622,0.974506873059175,0.0,0.0,0.0,1.0,19.0,1.0,0.9997752808988764,4450.0,7.0,4450.0,1.0,1.0,0.0
sg_qms,3000,3000,2910,0.97,0.481786941580756,0.4673333333333333,0.3629037122162185,0.10684534588917059,0.4041237113402062,13805,12379,11089,1290,127,0,4,0.8138458074092979,0.9743587307687397,0.0,0.0,0.0,17.0,139.0,17.0,0.9986267065191049,12379.0,127.0,12379.0,17.0,1.0,0.0
sg_qms,5000,5000,4846,0.9692,0.481634337598019,0.4668,0.3698906309617034,0.10987434236271142,0.41167973586463064,22999,19262,16034,3228,451,7,5,0.8137700199203856,0.9740076658334679,0.0,0.0,0.0,49.0,348.0,49.0,0.9974561312428616,19262.0,451.0,19262.0,49.0,1.0,0.0
sg_qms,10000,10000,9656,0.9656,0.47835542667771336,0.4619,0.36635096832370584,0.1083850388884034,0.4076222038111019,45772,32823,22972,9851,2504,101,7,0.8144067194897019,0.9739383413319085,0.0,0.0,0.0,271.0,1078.0,271.0,0.9917435944307346,32823.0,2504.0,32823.0,270.0,1.0,0.0036900369003690036
sg_qms,20372,20372,19663,0.965197329668172,0.4743935309973046,0.45788336933045354,0.35885021648356513,0.10211649880147478,0.38829273254335556,93031,50315,24983,25332,11194,1472,10,0.8141747993383954,0.9738809231992493,0.0,0.0,0.0,1168.0,2738.0,1168.0,0.9767862466461293,50315.0,11194.0,50315.0,1146.0,1.0,0.018835616438356163
