cycle,sacr_accuracy_covered,sg_qms_accuracy_covered,sacr_coverage,sg_qms_coverage,sacr_negative_exposure,sg_qms_negative_exposure,sacr_state_violations,sacr_context_violations,sacr_joint_violations,sg_qms_state_violations,sg_qms_context_violations,sg_qms_joint_violations,new_quarantines_this_cycle,new_downgrades_this_cycle,cumulative_quarantined,cumulative_downgraded,cumulative_memory_retention,distinct_memories_touched_cumulative,mean_quality_score,mean_retrieval_jaccard_overlap,fraction_queries_retrieval_changed,fraction_queries_prediction_changed,fraction_queries_correctness_changed,mcnemar_a_only_correct,mcnemar_b_only_correct,mcnemar_n_discordant,mcnemar_p_value,both_correct,both_wrong,sg_qms_correct_sacr_wrong,sg_qms_wrong_sacr_correct
1,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,1.0,243,0.5460905349794238,1.0,0.0,0.0,0.0,0,0,0,,22,28,0,0
2,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0,0,27,0,27,1.0,243,0.5921810699588478,1.0,0.0,0.0,0.0,0,0,0,,22,28,0,0
3,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0,27,0,27,27,0.8888888888888888,243,0.6382716049382716,1.0,0.0,0.0,0.0,0,0,0,,22,28,0,0
4,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.004149377593360996,0,0,0,0,0,0,0,0,27,27,0.8992537313432836,268,0.6809701492537313,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
5,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.004149377593360996,0,0,0,0,0,0,0,1,27,28,0.8992537313432836,268,0.7365671641791044,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
6,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.004149377593360996,0,0,0,0,0,0,1,0,28,28,0.8955223880597015,268,0.7402985074626864,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
7,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7434944237918215,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
8,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
9,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
10,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
11,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
12,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
13,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
14,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
15,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
16,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
17,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
18,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
19,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
20,0.4489795918367347,0.4489795918367347,0.98,0.98,0.1111111111111111,0.0,0,0,0,0,0,0,0,0,28,28,0.895910780669145,269,0.7475836431226766,0.835047619047619,0.44,0.1,0.08,2,2,4,1.0,20,26,2,2
